"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List","Supplier Name","Suggested Reorder QTY : <font color=#2096F3><b>%1$s</b></font> %2$s"
"Jonction 6mm","N/A","1.0","1.5","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Cose 8_10","N/A","0.2","0.45","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Cose 16/8","N/A","0.25","0.5","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Earth tapis système","N/A","900.0","1230.0","N/A","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Earth Rods système","N/A","410.0","750.0","N/A","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"A/V protection T","N/A","13.5","20.0","Pcs","Turkey","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Box électrique S 40x30","N/A","32.0","45.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"SPD AC","2 pool","15.0","20.0"," Pcs","Solar Surge Protection","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"SPD /DC","2 pool","15.0","20.0","Pcs","Solar Surge Protection","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"AC Breaker 15","N/A","3.0","7.0","Psc","2 pool","0.0","0.0","0.0","0.0","21 March 2023","0.0%","N/A"
"Transport","N/A","50.0","100.0","N/A","N/A","-1.0","0.0","0.0","0.0","21 March 2023","0.0%","N/A"
"Inverter Voltronic (V2) 5.6 KW","N/A","0.0","900.0","N/A","Warranty 1 Year","0.0","0.0","0.0","0.0","22 March 2023","0.0%","N/A"
"AC Breaker 10","N/A","3.0","7.0","Pcs","2 pool","0.0","0.0","0.0","0.0","03 April 2023","0.0%","N/A"
"Fuse DC 20 A","N/A","0.75","1.0","N/A","N/A","0.0","0.0","0.0","0.0","03 April 2023","0.0%","N/A"
"Cache Cable 4x4","N/A","0.0","3.0","N/A","N/A","0.0","0.0","0.0","0.0","05 April 2023","0.0%","N/A"
"Mc4 Conecter","N/A","0.0","3.0","Pcs","N/A","0.0","0.0","0.0","0.0","05 April 2023","0.0%","N/A"
"Transport & Installation","N/A","400.0","250.0","Worker","N/A","-1.0","0.0","0.0","0.0","05 April 2023","0.0%","N/A"
"Inverter Growatt 5 Kw","N/A","300.0","350.0","N/A","N/A","0.0","0.0","0.0","0.0","05 April 2023","0.0%","N/A"
"DC Breaker 100 A","N/A","0.0","20.0","Pcs","N/A","0.0","0.0","0.0","0.0","07 April 2023","0.0%","N/A"
"5 Kw Growwath","N/A","300.0","350.0","N/A","N/A","0.0","0.0","0.0","0.0","19 April 2023","0.0%","N/A"
"Sungrow On Grid","N/A","0.0","4000.0","N/A","N/A","0.0","0.0","0.0","0.0","28 April 2023","0.0%","N/A"
"Dief Agc 150","N/A","0.0","1300.0","N/A","N/A","0.0","0.0","0.0","0.0","28 April 2023","0.0%","N/A"
"Energy MANAGEMENT PANEL","N/A","0.0","750.0","N/A","N/A","0.0","0.0","0.0","0.0","28 April 2023","0.0%","N/A"
"Cable 4 X 35","N/A","0.0","30.0","N/A","N/A","0.0","0.0","0.0","0.0","28 April 2023","0.0%","N/A"
"Cable Trail","N/A","0.0","7.0","N/A","N/A","0.0","0.0","0.0","0.0","28 April 2023","0.0%","N/A"
"Control Cable","N/A","4.5","5.0","N/A","N/A","0.0","0.0","0.0","0.0","28 April 2023","0.0%","N/A"
"Installation Panels Acseories And Wiring","N/A","200.0","250.0","N/A","N/A","0.0","0.0","0.0","0.0","05 May 2023","0.0%","N/A"
"Wood Panel","N/A","10.0","15.0","F. Box","N/A","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
